code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00700,2023-05-25 00:00:00,329.8,322.4,330.6,318.4,14.668,0.00271,26028377,8426578871.0,-3.008423586040915,332.4
HK.00700,2023-05-29 00:00:00,327.2,313.2,327.2,311.2,14.249,0.00301,28838839,9139977298.0,-2.8535980148883344,322.4
HK.00700,2023-05-30 00:00:00,311.8,316.2,318.2,307.6,14.386,0.00227,21736553,6812911047.0,0.9578544061302683,313.2
HK.00700,2023-05-31 00:00:00,314.6,310.6,314.6,306.0,14.131,0.00335,32131907,9981997875.0,-1.7710309930423676,316.2
HK.00700,2023-06-01 00:00:00,312.6,315.4,323.4,311.2,14.35,0.00239,22951704,7292374057.0,1.5453960077269653,310.6
HK.00700,2023-06-02 00:00:00,327.6,334.2,334.2,323.4,15.205,0.00334,32055423,10589659557.0,5.960684844641729,315.4
HK.00700,2023-06-05 00:00:00,336.0,338.2,338.8,330.0,15.387,0.00207,19890895,6676336755.0,1.196888090963495,334.2
HK.00700,2023-06-06 00:00:00,338.0,331.2,339.2,329.0,15.069,0.00174,16700158,5572482384.0,-2.0697811945594324,338.2
HK.00700,2023-06-07 00:00:00,340.0,335.6,340.0,334.6,15.269,0.0019,18254900,6159602765.0,1.3285024154589475,331.2
HK.00700,2023-06-08 00:00:00,332.8,334.8,335.2,328.2,15.233,0.00137,13133723,4361434994.0,-0.23837902264601052,335.6
HK.00700,2023-06-09 00:00:00,336.4,336.0,340.0,333.8,15.288,0.00169,16184167,5451645038.0,0.3584229390680969,334.8
HK.00700,2023-06-12 00:00:00,340.0,338.4,340.0,334.2,15.397,0.00141,13488760,4557765581.0,0.7142857142857075,336.0
HK.00700,2023-06-13 00:00:00,339.6,344.8,348.4,338.0,15.688,0.00241,23119808,7957106270.0,1.8912529550827526,338.4
HK.00700,2023-06-14 00:00:00,346.6,345.6,353.4,344.0,15.724,0.0023,22081967,7691036374.0,0.2320185614849221,344.8
HK.00700,2023-06-15 00:00:00,353.0,355.0,355.0,348.0,16.152,0.00261,25008358,8813278392.0,2.719907407407401,345.6
HK.00700,2023-06-16 00:00:00,359.0,363.0,364.4,355.8,16.516,0.00374,35853943,12946982000.0,2.2535211267605635,355.0
HK.00700,2023-06-19 00:00:00,359.6,357.2,360.0,350.4,16.252,0.00211,20273905,7189369317.0,-1.5977961432506917,363.0
HK.00700,2023-06-20 00:00:00,354.0,350.0,359.2,347.2,15.925,0.0017,16283873,5713762131.0,-2.0156774916013407,357.2
HK.00700,2023-06-21 00:00:00,341.6,340.4,346.0,337.0,15.503,0.00201,19304438,6568809205.0,-2.742857142857149,350.0
HK.00700,2023-06-23 00:00:00,340.0,337.0,340.8,333.0,15.348,0.00145,13898721,4679575009.0,-0.9988249118683835,340.4
